country,countryname,poli_regime,GDP,unemploy,employment_growth,inflation,interest,FI,pop,English,French,Spanish,Arabic,0tDis,agr_change
2,Afghanistan,0,558,7.821000099,-1.116000175,0.892536936,NA,1.197068573,28803,0,0,0,0,1.059290169,0.24201207
3,Angola,0,3586,9.862999916,2.274000168,14.4705412,0.099025872,-3.910531911,23369,0,0,0,0,1.011764676,0.874308174
4,Albania,1,4056,14.19999981,-0.43999958,3.552267388,7.974363871,9.139901291,2941,0,0,0,0,5.269576993,2.091242658
5,United Arab Emirates,0,35038,3.813999891,0.356000185,0.878936756,NA,3.035594892,8271,1,0,0,1,0,-2.178259817
6,Argentina,2,10346,7.380000114,1.269999504,10.78011543,-8.56602872,2.675161719,41224,0,0,1,0,0.167189951,6.932096803
7,Armenia,0,3432,19.01000023,-0.270000458,8.181575544,10.60763579,5.716037845,2877,0,0,0,0,0.478231101,14.47137338
9,Australia,2,58490,5.210000038,0.349999905,2.845225682,6.045011865,3.077160513,22120,1,0,0,0,3.047098606,-7.40923942
10,Austria,2,46599,4.820000172,0.480000019,1.813535031,NA,-5.615209099,8410,0,0,0,0,0.038152978,-1.945954756
11,Azerbaijan,0,5857,5.630000114,0.109999657,5.667923129,6.103777606,6.338044724,9032,0,0,0,0,1.105565067,0.283989347
12,Burundi,0,232,1.574000001,0.029999971,6.401249024,0.103918608,0.038511801,8767,0,1,0,0,2.377411289,-1.323987539
13,Belgium,2,44205,8.289999962,-0.380000114,2.189218922,NA,23.05670402,10939,0,1,0,0,0.001692168,-1.119551665
14,Benin,2,758,1.039999962,0.032000065,2.307356822,4.191269954,0.766902232,9199,0,1,0,0,0.858274799,2.172756297
15,Burkina Faso,1,575,4.65199995,-0.460999966,-0.764230735,-1.584897915,0.432438272,15605,0,1,0,0,1.250036827,8.442982456
16,Bangladesh,0,753,3.380000114,1.619999886,8.126676392,4.736137546,1.068934861,152149,0,0,0,0,4.584694259,-1.221479604
17,Bulgaria,2,6835,10.27999973,-3.459999561,2.438990605,9.92695403,3.641371034,7405,0,0,0,0,0.00855316,-3.919999019
18,Bahrain,0,20722,1.129999995,2.531000018,1.961884683,-0.18011263,0.605800046,1241,1,0,0,1,0,-1.671656019
19,Bahamas,0,27979,14.31799984,-0.06799984,1.344027384,5.91590879,8.636992163,361,1,0,0,0,0,0.1998002
20,Bosnia and Herzegovina,1,4615,27.20000076,-3.170000076,2.188537852,6.394584349,2.583954458,3722,0,0,0,0,0.493228499,0.2734375
21,Belarus,0,6042,1.149999976,-0.25,7.735748043,-5.078383495,2.435056533,9473,0,0,0,0,0.021958552,-1.758189937
22,Belize,0,4344,11.30000019,-1.286000252,0.917977379,12.60277329,6.903510741,322,1,0,0,0,0.806085589,0.350723367
23,Bolivia (Plurinational State of),1,1981,2.538000107,0.321999788,2.501767027,1.041041337,3.165443564,9918,0,0,1,0,1.297429164,0.344318287
24,Brazil,2,11224,8.361000061,-0.081000328,5.038316946,29.13210304,4.004401044,196796,0,0,0,0,0.482451028,1.44254583
25,Barbados,2,15613,10.68999958,-0.669999123,5.824218533,8.351658849,14.99058925,280,1,0,0,0,0,-6.976744186
26,Brunei Darussalam,0,35267,6.164000034,-0.120999813,0.356869132,-9.588180213,3.507036879,389,1,0,0,0,0,0.645161218
27,Bhutan,0,2179,3.319999933,0.640000105,7.036383161,7.48324558,4.747733399,728,1,0,0,0,0.013501103,0.325624149
28,Botswana,2,6346,17.86000061,-1.690000534,6.948876587,2.330456765,1.707877432,2015,1,0,0,0,0.740418784,-0.158805781
29,Central African Republic,0,457,6.265999794,-0.004999638,1.493233784,NA,3.097658977,4449,0,1,0,0,0.182498508,-0.11075797
30,Canada,2,47221,8.06000042,0.279999733,1.776871541,-0.262355298,1.841558834,34169,1,1,0,0,0.010743238,-0.477747145
31,Switzerland,2,74538,4.809999943,-0.690000057,0.698510114,2.408504376,3.02693574,7832,0,1,0,0,0.003887884,-0.786596039
33,Chile,2,12860,8.420000076,1.269999504,1.409964751,-3.861397184,7.330402955,16993,0,0,1,0,0.260470805,0.851341937
34,China,0,4461,4.199999809,0.088000298,3.325774987,-1.060780047,3.994731929,1359755,0,0,0,0,7.950971475,-0.793816126
